Trig,,,,,,,,,,
Webwork Section,Link,Webwork key,DoenetId,parentDoenetId,Level 1 - chapter,Level 2 - section,Level 3 - title,Level 4 - version,MA 1155 Assignment,
Factoring trinomials,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_7OrFV0XMfTekzVzyqNUeP,5c,_7OrFV0XMfTekzVzyqNUeP,_Jf7QD0G0X3t4g650OVkgc,,,"Problem 15: BA-Basics - Factor a quadratic; a not equal to 1, constant GCF",,,
,,,_dr6uHHYiO55NqmUbe3LQN,_Jf7QD0G0X3t4g650OVkgc,,,Problem 16: BA-Basics,,,
Factoring: special forms,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_PcrjSMtu8qviRh8r6SUBT,5d,_PcrjSMtu8qviRh8r6SUBT,_Jf7QD0G0X3t4g650OVkgc,,,"Problem 17: BA-Basics - Factor a quadratic; difference of squares, a = 1",,,
Factoring: special forms,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_2nh6VF2maYBbZS9VeHmNa,5d,_2nh6VF2maYBbZS9VeHmNa,_Jf7QD0G0X3t4g650OVkgc,,,"Problem 18: BA-Basics - Factor a quadratic; difference of squares, a not equal to 1, no GCF",,,
,,,_1eoIx29QbRkcqD1pRWmkU,_Jf7QD0G0X3t4g650OVkgc,,,Problem 19: BA-Basics,,,
Factoring: special forms,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_OQdmzJDDb0K8RHiewr5Lh,5d,_OQdmzJDDb0K8RHiewr5Lh,_Jf7QD0G0X3t4g650OVkgc,,,"Problem 20: BA-Basics - Factor a quadratic; difference of squares, a not equal to 1, constant GCF",,,
Factoring: special forms,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_MZhNJslwphx8N5Wvj7avR,5d,_MZhNJslwphx8N5Wvj7avR,_Jf7QD0G0X3t4g650OVkgc,,,"Problem 21: BA-Basics - Factor a quadratic; difference of squares, GCF constant times x",,,
,,,_3hOfbEFXtFLriW7Mj7rhr,_Jf7QD0G0X3t4g650OVkgc,,,Problem 22: BA-Basics,,,
Factoring by grouping,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_2YhjAXrnaqN0MdGYo9h5G,5b,_2YhjAXrnaqN0MdGYo9h5G,_Jf7QD0G0X3t4g650OVkgc,,,Problem 23: BA-Basics - Factor a cubic by grouping; all positive terms,,,
Factoring by grouping,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_i2ABNwsYfyCcegHGXVLz6,5b,_i2ABNwsYfyCcegHGXVLz6,_Jf7QD0G0X3t4g650OVkgc,,,Problem 24: BA-Basics - Factor a cubic by grouping; constant GCF,,,
Factoring by grouping,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_szPV8nAsWje5Ua5FkWfVK,5b,_szPV8nAsWje5Ua5FkWfVK,_Jf7QD0G0X3t4g650OVkgc,,,Problem 25: BA-Basics - Factor a quartic by grouping; GCF constant times x,,,
Factoring by grouping,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_3zgWEXvdJWnJkCgHC1U9l,5b,_3zgWEXvdJWnJkCgHC1U9l,_Jf7QD0G0X3t4g650OVkgc,,,"Problem 26: BA-Basics - Factor a cubic by grouping; constant GCF, difference of squares",,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_3rWRJWbhqgOp4dfOPZCtH,,_3rWRJWbhqgOp4dfOPZCtH,_Jf7QD0G0X3t4g650OVkgc,,,27. BA-Basics - reduce a numerical fraction with common factors (version 1),,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_xtrd5Y8TvfftglLm6u9Wv,,_xtrd5Y8TvfftglLm6u9Wv,_Jf7QD0G0X3t4g650OVkgc,,,28. BA-Basics - reduce a numerical fraction with common factors (version 2),,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_pxVc1jhXjUlByKk62VHQo,,_pxVc1jhXjUlByKk62VHQo,_Jf7QD0G0X3t4g650OVkgc,,,29: BA-Basics - multiply then reduce,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_7LRGIbrd4L8LOIZYSaVl1,,_7LRGIbrd4L8LOIZYSaVl1,_Jf7QD0G0X3t4g650OVkgc,,,30. BA-Basics - divide then reduce,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_jFbuLilxomcve5Mxi62a1,,_jFbuLilxomcve5Mxi62a1,_Jf7QD0G0X3t4g650OVkgc,,,31. BA-Basics - add fractions then simplify,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_LVq07kSMaKqIVn0me1NpY,,_LVq07kSMaKqIVn0me1NpY,_Jf7QD0G0X3t4g650OVkgc,,,32. BA-Basics - subtract fractions then simplify,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_LHuhcnfChzw1MQd4sEuiG,,_LHuhcnfChzw1MQd4sEuiG,_Jf7QD0G0X3t4g650OVkgc,,,Problem 33: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_FxMH7XD58yjf0DStSiL3C,,_FxMH7XD58yjf0DStSiL3C,_Jf7QD0G0X3t4g650OVkgc,,,Problem 34: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_R9Dk4H2jzybPXv9cHNSKy,,_R9Dk4H2jzybPXv9cHNSKy,_Jf7QD0G0X3t4g650OVkgc,,,Problem 35: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_FuHeI9BdqMUKL30xphqwo,,_FuHeI9BdqMUKL30xphqwo,_Jf7QD0G0X3t4g650OVkgc,,,Problem 36: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_eCQTbzOAMB30MPUHuQJvG,,_eCQTbzOAMB30MPUHuQJvG,_Jf7QD0G0X3t4g650OVkgc,,,Problem 37: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_BcyXYqtEGKjf4FKjFWOCN,,_BcyXYqtEGKjf4FKjFWOCN,_Jf7QD0G0X3t4g650OVkgc,,,Problem 38: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_eRh5WVsbrh5BQAO2HMjWk,,_eRh5WVsbrh5BQAO2HMjWk,_Jf7QD0G0X3t4g650OVkgc,,,Problem 39: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_3ijcVwRAJxnfymJWEmWEN,,_3ijcVwRAJxnfymJWEmWEN,_Jf7QD0G0X3t4g650OVkgc,,,Problem 40: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_ygbsINo9HhyQ90XKFRNBE,,_ygbsINo9HhyQ90XKFRNBE,_Jf7QD0G0X3t4g650OVkgc,,,Problem 41: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_MyzXDdCVJ5qYx0pSHdytA,,_MyzXDdCVJ5qYx0pSHdytA,_Jf7QD0G0X3t4g650OVkgc,,,Problem 42: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_H71oHPHeTWOOF1N3IGc31,,_H71oHPHeTWOOF1N3IGc31,_Jf7QD0G0X3t4g650OVkgc,,,Problem 43: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_cnoV0x1zHIspBdNRgGdRA,,_cnoV0x1zHIspBdNRgGdRA,_Jf7QD0G0X3t4g650OVkgc,,,Problem 44: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_iVqe8JPx3yyrLVMCLs9vZ,,_iVqe8JPx3yyrLVMCLs9vZ,_Jf7QD0G0X3t4g650OVkgc,,,Problem 45: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_k5dYJaBWdM1heFJNtgsGh,,_k5dYJaBWdM1heFJNtgsGh,_Jf7QD0G0X3t4g650OVkgc,,,Problem 46: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_CzcGor3QRgGOdnhC8pr7t,,_CzcGor3QRgGOdnhC8pr7t,_Jf7QD0G0X3t4g650OVkgc,,,Problem 47: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_EOStW4M74lil2RxfW50gK,,_EOStW4M74lil2RxfW50gK,_Jf7QD0G0X3t4g650OVkgc,,,Problem 48: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_QvafvsVjCp9aHGNuzAC8k,,_QvafvsVjCp9aHGNuzAC8k,_Jf7QD0G0X3t4g650OVkgc,,,Problem 49: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_5yojTmn6uC7YCApPhR74K,,_5yojTmn6uC7YCApPhR74K,_Jf7QD0G0X3t4g650OVkgc,,,Problem 50: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_PN9NpJUT3Y43ZTShSGr2u,,_PN9NpJUT3Y43ZTShSGr2u,_Jf7QD0G0X3t4g650OVkgc,,,Problem 51: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_6Hrt2cVIgXm6ZwbRY52wz,,_6Hrt2cVIgXm6ZwbRY52wz,_Jf7QD0G0X3t4g650OVkgc,,,Problem 52: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_nq5UREqRvlqZ1IpX0pvYh,,_nq5UREqRvlqZ1IpX0pvYh,_Jf7QD0G0X3t4g650OVkgc,,,Problem 53: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_PaVduHoVcODRZ4T6wX559,,_PaVduHoVcODRZ4T6wX559,_Jf7QD0G0X3t4g650OVkgc,,,Problem 54: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_3ZAstt07e7iUgcPQU6P6i,,_3ZAstt07e7iUgcPQU6P6i,_Jf7QD0G0X3t4g650OVkgc,,,Problem 55: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_EXfwZPfujmWIpZJnCl32M,,_EXfwZPfujmWIpZJnCl32M,_Jf7QD0G0X3t4g650OVkgc,,,Problem 56: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_nWuWSQUtLalcIBtMOKuiW,,_nWuWSQUtLalcIBtMOKuiW,_Jf7QD0G0X3t4g650OVkgc,,,Problem 57: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_fPgslBL5g24qxHkyuAvvL,,_fPgslBL5g24qxHkyuAvvL,_Jf7QD0G0X3t4g650OVkgc,,,Problem 58: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_hal8jgukyEcmX26KUq5hT,,_hal8jgukyEcmX26KUq5hT,_Jf7QD0G0X3t4g650OVkgc,,,Problem 59: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_ewckNPsLkxkdApQgalLhy,,_ewckNPsLkxkdApQgalLhy,_Jf7QD0G0X3t4g650OVkgc,,,Problem 60: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_zMfgmFVp87umI8jbSUTDM,,_zMfgmFVp87umI8jbSUTDM,_Jf7QD0G0X3t4g650OVkgc,,,Problem 61: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_6aT5QdIRtYW0eHt8XZZlk,,_6aT5QdIRtYW0eHt8XZZlk,_Jf7QD0G0X3t4g650OVkgc,,,Problem 62: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_F0OHK6G6SE5YNgnZXqzS4,,_F0OHK6G6SE5YNgnZXqzS4,_Jf7QD0G0X3t4g650OVkgc,,,Problem 63: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_GuXxKkNTdXdmuK76ScUSu,,_GuXxKkNTdXdmuK76ScUSu,_Jf7QD0G0X3t4g650OVkgc,,,Problem 64: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_rnRuy0bnMdkUaXA2BxFCK,,_rnRuy0bnMdkUaXA2BxFCK,_Jf7QD0G0X3t4g650OVkgc,,,Problem 65: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_7SPdXFzGbt7nmJyg1nBZL,,_7SPdXFzGbt7nmJyg1nBZL,_Jf7QD0G0X3t4g650OVkgc,,,Problem 66: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_Iewk35VgfzXfxBjjoXX8O,,_Iewk35VgfzXfxBjjoXX8O,_Jf7QD0G0X3t4g650OVkgc,,,Problem 67: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_AFRiG2eERuJT1Os6tC4mO,,_AFRiG2eERuJT1Os6tC4mO,_Jf7QD0G0X3t4g650OVkgc,,,Problem 68: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_2GHLW6jHNbiUOzhryYt5Y,,_2GHLW6jHNbiUOzhryYt5Y,_Jf7QD0G0X3t4g650OVkgc,,,Problem 69: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_8tOR68wmwpavWLYEQMglz,,_8tOR68wmwpavWLYEQMglz,_Jf7QD0G0X3t4g650OVkgc,,,Problem 70: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_tNTc3txysPW1pXHB4ZsG5,,_tNTc3txysPW1pXHB4ZsG5,_Jf7QD0G0X3t4g650OVkgc,,,Problem 71: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_5LcVsUzay8yVrXRhYqxAD,,_5LcVsUzay8yVrXRhYqxAD,_Jf7QD0G0X3t4g650OVkgc,,,Problem 72: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_SE8OJDFjS9UjyxrhYUkhW,,_SE8OJDFjS9UjyxrhYUkhW,_Jf7QD0G0X3t4g650OVkgc,,,Problem 73: BA-Basics,,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_2VBj4purPkXDaHI2sL2IF,10f,_2VBj4purPkXDaHI2sL2IF,_Jf7QD0G0X3t4g650OVkgc,,,74. BA-Basics - Factor rational expression; binomial terms cancel,,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_XHVLSJWa43qusYzl6MZ1U,10f,_XHVLSJWa43qusYzl6MZ1U,_Jf7QD0G0X3t4g650OVkgc,,,"75. BA-Basics - Factor rational expression; numerator GCF constant times x, cubic in denominator",,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_L1UiYj3iS8JMfwBQFPmcg,10f,_L1UiYj3iS8JMfwBQFPmcg,_Jf7QD0G0X3t4g650OVkgc,,,76. BA-Basics - Factor rational expression; denominator cubic with difference of squares,,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_1Kef4tjzgHgPbjkessZ24,10f,_1Kef4tjzgHgPbjkessZ24,_Jf7QD0G0X3t4g650OVkgc,,,77. BA-Basics - Factor rational expression; GCF of x in denominator,,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_8ivRXtEXfjlpGzcXiGshs,10f,_8ivRXtEXfjlpGzcXiGshs,_Jf7QD0G0X3t4g650OVkgc,,,78. BA-Basics - Factor rational expression; denominator is a difference of squares,,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_s1sPnitjB1DqfXXEIVfNf,10f,_s1sPnitjB1DqfXXEIVfNf,_Jf7QD0G0X3t4g650OVkgc,,,"79. BA-Basics - Factor rational expression; constant GCF in numerator, denominator is a difference of squares",,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_xYXmhL0IXOTbJ1scrx91o,10f,_xYXmhL0IXOTbJ1scrx91o,_Jf7QD0G0X3t4g650OVkgc,,,80. BA-Basics - Factor rational expression; numerator is cubic with GCF of x,,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_Bva55rPTCN1O273ImW4qV,10f,_Bva55rPTCN1O273ImW4qV,_Jf7QD0G0X3t4g650OVkgc,,,81. BA-Basics - Factor rational expression; constant GCF in numerator,,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_tSi8fNToKiiDM6Y1cunSu,10f,_tSi8fNToKiiDM6Y1cunSu,_Jf7QD0G0X3t4g650OVkgc,,,"82. BA-Basics - Factor rational expression; constant GCF in numerator, all terms positive",,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_akQ5ZiOF6zkIizlezxg96,10f,_akQ5ZiOF6zkIizlezxg96,_Jf7QD0G0X3t4g650OVkgc,,,"83. BA-Basics - Factor rational expression; numerator has GCF of x, all positive terms",,,
Midpoint and distance formulas,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_hUDGVD7SopeJvfoNmpFkj,4b,_hUDGVD7SopeJvfoNmpFkj,_Jf7QD0G0X3t4g650OVkgc,,,"84. BA-Basics - The distance formula, exact response",,,
Midpoint and distance formulas,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_sllFQBajo0hmuAnx4tEXK,4b,_sllFQBajo0hmuAnx4tEXK,_Jf7QD0G0X3t4g650OVkgc,,,"85. BA-Basics - The distance formula, decimal response",,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_3HBHwSlkax7mMe91vH6Eq,,_3HBHwSlkax7mMe91vH6Eq,_Jf7QD0G0X3t4g650OVkgc,,,Problem 86: BA-Basics,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_VCwXurkZUPTl3xzWpplAZ,,_VCwXurkZUPTl3xzWpplAZ,_Jf7QD0G0X3t4g650OVkgc,,,Problem 87: BA-Basics,,,
Isolating variables,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_jBDXfMhRAqe1YBachBOEi,1g,_jBDXfMhRAqe1YBachBOEi,_Jf7QD0G0X3t4g650OVkgc,,,"88: BA-Basics - Simplify an expression with multiple variables to solve for x, y, or z",,,
Isolating variables,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_5UDipDrWhNulpiNcKHRCn,1g,_5UDipDrWhNulpiNcKHRCn,_Jf7QD0G0X3t4g650OVkgc,,,89: BA-Basics - Simplify an expression with multiple variables to solve for one variable; selected variable in denominator,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_Q60Lvod1KI2m3qI57wByD,,_Q60Lvod1KI2m3qI57wByD,_Jf7QD0G0X3t4g650OVkgc,,,Problem 90: BA-Basics,,,
"Rational expressions: add, subtract",https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_cGvsrL4xh4VR2zlWflb4C,10e,_cGvsrL4xh4VR2zlWflb4C,_Jf7QD0G0X3t4g650OVkgc,,,91. BA-Basics - Add two rational expressions; numerators are constants,,,
"Rational expressions: add, subtract",https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_FsVaLwBORx81FxSybRcfz,10e,_FsVaLwBORx81FxSybRcfz,_Jf7QD0G0X3t4g650OVkgc,,,92. BA-Basics - Subtract two rational expressions; numerators are constants,,,
"Rational expressions: add, subtract",https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_K5jlyHKWogv4weaxFFpap,10e,_K5jlyHKWogv4weaxFFpap,_Jf7QD0G0X3t4g650OVkgc,,,93. BA-Basics - Add two rational expressions; one numerator is a binomial,,,
"Rational expressions: add, subtract",https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_Oo3NWXbLixxNcRnl3agEn,10e,_Oo3NWXbLixxNcRnl3agEn,_Jf7QD0G0X3t4g650OVkgc,,,94. BA-Basics - Subtract two rational expressions; one numerator is a binomial,,,
"Rational expressions: add, subtract",https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_oNHcwzZcd9SK1e60jJKe4,10e,_oNHcwzZcd9SK1e60jJKe4,_Jf7QD0G0X3t4g650OVkgc,,,95. BA-Basics - Sum a binomial and an algebraic fraction,,,
"Rational expressions: add, subtract",https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_Z5VlD21hG7y5zBEYURnXP,10e,_Z5VlD21hG7y5zBEYURnXP,_Jf7QD0G0X3t4g650OVkgc,,,96. BA-Basics - Difference of a binomial and an algebraic fraction,,,
"Rational expressions: add, subtract",https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_P7pOuEjzQMw0ZDKEFFBFT,10e,_P7pOuEjzQMw0ZDKEFFBFT,_Jf7QD0G0X3t4g650OVkgc,,,97. BA-Basics - Add two rational expressions; both contain binomials,,,
"Rational expressions: add, subtract",https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_XMlxJT8wr1xv1nAZ473TW,10e,_XMlxJT8wr1xv1nAZ473TW,_Jf7QD0G0X3t4g650OVkgc,,,98. BA-Basics - Subtract two rational expressions; both contain binomials,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_YEpidBJCdSTTNB4S4QOJ0,,_YEpidBJCdSTTNB4S4QOJ0,_Jf7QD0G0X3t4g650OVkgc,,,Problem 99: BA-Basics,,,
