Trig,Prob,,,,Heirarchy Levels,,highlighted yellow means needs formal review,,,,,,,
#N/A,,,,,,,,,,,,_vCvw6I5gvCkTaHzag9MxH,,https://www.doenet.org/courseactivityeditor//_vCvw6I5gvCkTaHzag9MxH
#N/A,,,,,,,,,Link to 7. TR-Series: given two terms in arithmetic sequence compute a_n,,,_BA1iHuOn8umBpEGEzcZJz,,https://www.doenet.org/courseactivityeditor//_BA1iHuOn8umBpEGEzcZJz
#N/A,,,,,,,,,Link to 9. TR-Series: given two terms in arithmetic sequence find explicit formula,,,_Rhq2naj50Ap9DJwEql6pL,,https://www.doenet.org/courseactivityeditor//_Rhq2naj50Ap9DJwEql6pL
#N/A,,,,,,,,HWI 4.1: Solve linear equation for x,,,,_8uwXXOV7viuYqEde00oWG,,https://www.doenet.org/courseactivityeditor//_8uwXXOV7viuYqEde00oWG
#N/A,,,,,,,,,,,,_qANP5m3mokNJyjp5SldT5,,https://www.doenet.org/courseactivityeditor//_qANP5m3mokNJyjp5SldT5
#N/A,,,,,,,,,Link to 17. BA-Lines: Solve linear equation for x,,,_lxjzqlNf1UrDPOGcKb9Ls,,https://www.doenet.org/courseactivityeditor//_lxjzqlNf1UrDPOGcKb9Ls
#N/A,,,,,,,,HWI 4.2: Population growth,,,,_sWiHGAjcCovH6PFekFeWn,,https://www.doenet.org/courseactivityeditor//_sWiHGAjcCovH6PFekFeWn
#N/A,,,,,,,,,,,,_q1JmfWkK4bLveIBZQFP1r,,https://www.doenet.org/courseactivityeditor//_q1JmfWkK4bLveIBZQFP1r
#N/A,,,,,,,,,Link to 1. BA-Lines: population growth of a city,,,_KRV6O5hyJbTfwP0SFjacw,,https://www.doenet.org/courseactivityeditor//_KRV6O5hyJbTfwP0SFjacw
#N/A,,,,,,,,HWI 4.9: Slope-intercept form,,,,_5mGe7Swl4641iH58DjSE1,,https://www.doenet.org/courseactivityeditor//_5mGe7Swl4641iH58DjSE1
#N/A,,,,,,,,,,,,_FTXHZnRZUnN8V3v97RDYA,,https://www.doenet.org/courseactivityeditor//_FTXHZnRZUnN8V3v97RDYA
#N/A,,,,,,,,,Link to 3. BA-Lines: write eq in slope-int form given slope and y-int,,,_ZCdIwvcfXktcbehpKJ8T3,,https://www.doenet.org/courseactivityeditor//_ZCdIwvcfXktcbehpKJ8T3
#N/A,,,,,,,,,Link to 4. BA-Lines: find x and y intercepts,,,_1isSFxyxUrtuAzWEbPZ0A,,https://www.doenet.org/courseactivityeditor//_1isSFxyxUrtuAzWEbPZ0A
#N/A,,,,,,,,,Link to 8. BA-Lines: write eq in slope-int form given through-pt and slope,,,_CLgrhRC1Rl1JpougDhci2,,https://www.doenet.org/courseactivityeditor//_CLgrhRC1Rl1JpougDhci2
#N/A,,,,,,,,,Link to 10. BA-Lines: write eq in slope-int form given two points,,,_HsPLxZTOcmqlaeEOnGSn5,,https://www.doenet.org/courseactivityeditor//_HsPLxZTOcmqlaeEOnGSn5
#N/A,,,,,,,,,Link to 13. BA-Lines: Determine linear function given two function values,,,_P0uKTlHn8aAaHUQ1nlv0F,,https://www.doenet.org/courseactivityeditor//_P0uKTlHn8aAaHUQ1nlv0F
#N/A,,,,,,,,HWI 4.10: 2x2 System of equations,,,,_4LDHEaTkp43fa3hMqYV3b,,https://www.doenet.org/courseactivityeditor//_4LDHEaTkp43fa3hMqYV3b
#N/A,,,,,,,,,,,,_QxlJAxwfdKD0xnFHxwkFC,,https://www.doenet.org/courseactivityeditor//_QxlJAxwfdKD0xnFHxwkFC
#N/A,,,,,,,,,Link to 1. TR-SysOfEq: find solution to 2x2 system,,,_ej4sOQtKqBoKKIBrUWuGV,,https://www.doenet.org/courseactivityeditor//_ej4sOQtKqBoKKIBrUWuGV
#N/A,,,,,,,,,Link to 2. TR-SysOfEq: find solution to 2x2 system,,,_ccAIRT2GW40hc6vmbduRD,,https://www.doenet.org/courseactivityeditor//_ccAIRT2GW40hc6vmbduRD
#N/A,,,,,,,,,Link to 3. TR-SysOfEq: find solution to 2x2 system,,,_jocRfQsywNOBASHVAnku9,,https://www.doenet.org/courseactivityeditor//_jocRfQsywNOBASHVAnku9
#N/A,,,,,,,,HWI 5.3: Quadratics part 1,,,,_WUhMiP5YHQnXNQZepOsIN,,https://www.doenet.org/courseactivityeditor//_WUhMiP5YHQnXNQZepOsIN
#N/A,,,,,,,,,,,,_32fsg3UECq6lHlPrnKqOi,,https://www.doenet.org/courseactivityeditor//_32fsg3UECq6lHlPrnKqOi
#N/A,,,,,,,,,Link to 14. TR-Conics: write equation in vertex form given graph of a parabola,,,_msMjPW2ktqnc1VaREuGkT,,https://www.doenet.org/courseactivityeditor//_msMjPW2ktqnc1VaREuGkT
#N/A,,,,,,,,,Link to 16. TR-Conics: write equation in vertex form given graph of a parabola,,,_2Jk5YomgUGeR5LIRezmJ8,,https://www.doenet.org/courseactivityeditor//_2Jk5YomgUGeR5LIRezmJ8
#N/A,,,,,,,,,,,,_ZxQu1rmRkhLVZj1IJK5dN,,https://www.doenet.org/courseactivityeditor//_ZxQu1rmRkhLVZj1IJK5dN
#N/A,,,,,,,,,Link to 1. BA-Quadratics: find axis of symmetry given equation in general form,,,_4fxtKUjiKkE8DSpVIUpNy,,https://www.doenet.org/courseactivityeditor//_4fxtKUjiKkE8DSpVIUpNy
#N/A,,,,,,,,,Link to 2. BA-Quadratics: find axis of symmetry given equation - a not 1,,,_ZzwHPpIlLPUonuAzDEXgV,,https://www.doenet.org/courseactivityeditor//_ZzwHPpIlLPUonuAzDEXgV
#N/A,,,,,,,,,Link to 3. BA-Quadratics: find vertex given equation - a = 1,,,_ScvBxpONBrBJPecVLOlFp,,https://www.doenet.org/courseactivityeditor//_ScvBxpONBrBJPecVLOlFp
#N/A,,,,,,,,,Link to 4. BA-Quadratics: find vertex given equation - a != 1,,,_UVf5oRkPX3bLgBxKAbfMX,,https://www.doenet.org/courseactivityeditor//_UVf5oRkPX3bLgBxKAbfMX
#N/A,,,,,,,,,Link to 5. BA-Quadratics: convert parabola given in vertex form to general form,,,_jzMIZQObZmNUd0EMHh7vj,,https://www.doenet.org/courseactivityeditor//_jzMIZQObZmNUd0EMHh7vj
#N/A,,,,,,,,,Link to 6. BA-Quadratics: convert parabola in general to vertex form,,,_1ycnv4CTrhRKnWYrLtqcu,,https://www.doenet.org/courseactivityeditor//_1ycnv4CTrhRKnWYrLtqcu
#N/A,,,,,,,,,Link to 7. BA-Quadratics: determine vertex from equation in vertex form,,,_O65FgSP56NKFxkIMP6nau,,https://www.doenet.org/courseactivityeditor//_O65FgSP56NKFxkIMP6nau
#N/A,,,,,,,,HWI 5.6: Quadratics part 2,,,,_dpvqCOGL5uzNfMaomze8U,,https://www.doenet.org/courseactivityeditor//_dpvqCOGL5uzNfMaomze8U
#N/A,,,,,,,,,,,,_0gBBEVMG7WwFR3NhobuHN,,https://www.doenet.org/courseactivityeditor//_0gBBEVMG7WwFR3NhobuHN
#N/A,,,,,,,,,Link to 8. BA-Quadratics: find the maximum of a function,,,_ywKnrmN7GJim7Wla7y98l,,https://www.doenet.org/courseactivityeditor//_ywKnrmN7GJim7Wla7y98l
#N/A,,,,,,,,,Link to 9. BA-Quadratics: find the minimum of a function,,,_fSV0Z8KJupE0Zvmw6CRgT,,https://www.doenet.org/courseactivityeditor//_fSV0Z8KJupE0Zvmw6CRgT
#N/A,,,,,,,,HWI 5.7: Completing the square,,,,_ctfprENBx0iGtamEGHKpR,,https://www.doenet.org/courseactivityeditor//_ctfprENBx0iGtamEGHKpR
#N/A,,,,,,,,,,,,_8qq90IS790UNswfzrAPtE,,https://www.doenet.org/courseactivityeditor//_8qq90IS790UNswfzrAPtE
#N/A,,,,,,,,,Link to 19. BA-Quadratics: What is the constant k required to form a perfect square?,,,_0FqR2SATn65x6XRqo88b3,,https://www.doenet.org/courseactivityeditor//_0FqR2SATn65x6XRqo88b3
#N/A,,,,,,,,,,,,_KSX090Qz9ZNyPq0NOZRTs,,https://www.doenet.org/courseactivityeditor//_KSX090Qz9ZNyPq0NOZRTs
#N/A,,,,,,,,,Link to 21. TR-Conics: complete the square to find center and radius of a circle,,,_LbLt7LeLLcHmTSeNNmLna,,https://www.doenet.org/courseactivityeditor//_LbLt7LeLLcHmTSeNNmLna
#N/A,,,,,,,,HWI 5.9: the Equation of a Circle,,,,_4pRk3BprGmXAebVNaGURA,,https://www.doenet.org/courseactivityeditor//_4pRk3BprGmXAebVNaGURA
#N/A,,,,,,,,,,,,_asPNAAFC6Ox3DQeXbgX8k,,https://www.doenet.org/courseactivityeditor//_asPNAAFC6Ox3DQeXbgX8k
#N/A,,,,,,,,,from TR-Conics,,,_MDWV70e29kwiJF1UsEW8D,,https://www.doenet.org/courseactivityeditor//_MDWV70e29kwiJF1UsEW8D
#N/A,,,,,,,,,,"Link to 2. TR-Conics: Given the graph of a circle, determine h,k,r",,_t4OzhmJOV6qEUmgZC6NSD,,https://www.doenet.org/courseactivityeditor//_t4OzhmJOV6qEUmgZC6NSD
#N/A,,,,,,,,,from TR-Conics,,,_WuZNjlpMvZ3tuIDGtthDu,,https://www.doenet.org/courseactivityeditor//_WuZNjlpMvZ3tuIDGtthDu
#N/A,,,,,,,,,,"Link to 1. TR-Conics: Given equation of a circle in standard form, find center and radius",,_B8Pfx36CnwfDqynCvYvZ1,,https://www.doenet.org/courseactivityeditor//_B8Pfx36CnwfDqynCvYvZ1
#N/A,,,,,,,,HWI 6.1: Evaluating logarithms,,,,_TFQX1gEIxY53NHh7pNbwB,,https://www.doenet.org/courseactivityeditor//_TFQX1gEIxY53NHh7pNbwB
#N/A,,,,,,,,,,,,_tmcZNJRoGetJKPXBQi66P,,https://www.doenet.org/courseactivityeditor//_tmcZNJRoGetJKPXBQi66P
#N/A,,,,,,,,,from BA-ExpLog,,,_fcIKplNGIyIkOZWFPO7aM,,https://www.doenet.org/courseactivityeditor//_fcIKplNGIyIkOZWFPO7aM
#N/A,,,,,,,,,,Link to 1. BA-ExpLog: Evaluate base-10 logarithms,,_wZQPNhrvPmYXQm3ZRy9Cr,,https://www.doenet.org/courseactivityeditor//_wZQPNhrvPmYXQm3ZRy9Cr
#N/A,,,,,,,,,,Link to 3. BA-ExpLog: Evaluate base-10 log of fraction,,_AOdktjP4wgKEH5OSGG6WV,,https://www.doenet.org/courseactivityeditor//_AOdktjP4wgKEH5OSGG6WV
#N/A,,,,,,,,,,"Link to 23. BA-ExpLog: log base-10 of a fraction, powers of 10",,_JYtwpn5DCIzCh3ASSzrPK,,https://www.doenet.org/courseactivityeditor//_JYtwpn5DCIzCh3ASSzrPK
#N/A,,,,,,,,,,Link to 24. BA-ExpLog: log base-10 of 10^n,,_9M7qN0WhQCWPM6QOztbbm,,https://www.doenet.org/courseactivityeditor//_9M7qN0WhQCWPM6QOztbbm
#N/A,,,,,,,,,,Link to 26. BA-ExpLog: Simplify the sum of two logarithms using properties,,_5b2yeq0BfcUoObJs2Q8w0,,https://www.doenet.org/courseactivityeditor//_5b2yeq0BfcUoObJs2Q8w0
#N/A,,,,,,,,,,Link to 31. BA-ExpLog: log base 10 of a decimal fraction,,_vr4BfuqSU2wqjcjuTlhWE,,https://www.doenet.org/courseactivityeditor//_vr4BfuqSU2wqjcjuTlhWE
#N/A,,,,,,,,,,Link to 38. BA-ExpLog: log_10 x = -m,,_UkQ5g1cVo3HGKLfXkNHtK,,https://www.doenet.org/courseactivityeditor//_UkQ5g1cVo3HGKLfXkNHtK
#N/A,,,,,,,,HWI 6.4: Continuously compounding interest,,,,_SVYLoM5KGyCNChK37Ydly,,https://www.doenet.org/courseactivityeditor//_SVYLoM5KGyCNChK37Ydly
#N/A,,,,,,,,,,,,_SqomhoQf57gNYbORfe6RT,,https://www.doenet.org/courseactivityeditor//_SqomhoQf57gNYbORfe6RT
#N/A,,,,,,,,,"Link to 9. BA-ExpLog: Solve for A given P,r,t",,,_kgRT68r6I2gk4Ciyuctxb,,https://www.doenet.org/courseactivityeditor//_kgRT68r6I2gk4Ciyuctxb
#N/A,,,,,,,,,"Link to 10. BA-ExpLog: Solve for t given A, P, r",,,_N31xEgEt1oUmfQVJUc9c0,,https://www.doenet.org/courseactivityeditor//_N31xEgEt1oUmfQVJUc9c0
#N/A,,,,,,,,,"Link to 11. BA-ExpLog: Solve for P given A, r, t",,,_U7A9BZqjhgkzaIPXD02QU,,https://www.doenet.org/courseactivityeditor//_U7A9BZqjhgkzaIPXD02QU
#N/A,,,,,,,,,"Link to 43. BA-ExpLog: Solve for r given A,P,t",,,_VxBP0Ld3qodzBpGRtaJJb,,https://www.doenet.org/courseactivityeditor//_VxBP0Ld3qodzBpGRtaJJb
#N/A,,,,,,,,HWI 6.5: Radioactive decay,,,,_10eG2kNyNqCS2BcKA9p6j,,https://www.doenet.org/courseactivityeditor//_10eG2kNyNqCS2BcKA9p6j
#N/A,,,,,,,,,,,,_J4Xu34a2ODiq2vhqQqrLl,,https://www.doenet.org/courseactivityeditor//_J4Xu34a2ODiq2vhqQqrLl
#N/A,,,,,,,,,"Link to 47. BA-ExpLog: Radioactive decay, determine final amount after t years",,,_ySOXX48gMQDNvMYBjIfbR,,https://www.doenet.org/courseactivityeditor//_ySOXX48gMQDNvMYBjIfbR
#N/A,,,,,,,,,"Link to 48. BA-ExpLog: Radioactive decay, determine half-life",,,_hBGzAgeCqzrSSJRR9R1sy,,https://www.doenet.org/courseactivityeditor//_hBGzAgeCqzrSSJRR9R1sy
#N/A,,,,,,,,,"Link to 49. BA-ExpLog: Radioactive decay, determine time to final amount",,,_79Qq3RQZztJUAwAJXAEk8,,https://www.doenet.org/courseactivityeditor//_79Qq3RQZztJUAwAJXAEk8
#N/A,,,,,,,HWM - Intermediate,,,,,_lR1m0CA3ybvaBApcD8Pe6,,https://www.doenet.org/courseactivityeditor//_lR1m0CA3ybvaBApcD8Pe6
#N/A,,,,,,,,HWM 4.8: Parallel and Perpendicular Lines,,,,_cjH0CySkdxVxjal1bB8JI,,https://www.doenet.org/courseactivityeditor//_cjH0CySkdxVxjal1bB8JI
#N/A,,,,,,,,,,,,_c1ICDEldSJu1tSBytpLKA,,https://www.doenet.org/courseactivityeditor//_c1ICDEldSJu1tSBytpLKA
#N/A,,,,,,,,,Link to 9: BA-Lines - find value of k that makes two lines parallel,,,_nlus2RwWPEKJjY2uQtmtu,,https://www.doenet.org/courseactivityeditor//_nlus2RwWPEKJjY2uQtmtu
#N/A,,,,,,,,,Link to 11: BA-Lines - find equation given parallel line and through-point,,,_247noS8Tc5flxb7Y7I9u9,,https://www.doenet.org/courseactivityeditor//_247noS8Tc5flxb7Y7I9u9
#N/A,,,,,,,,,Link to 14: BA-Lines - find value of k s.t. two lines are perpendicular,,,_yKMpL6MTgF6u0KFMjBLTi,,https://www.doenet.org/courseactivityeditor//_yKMpL6MTgF6u0KFMjBLTi
#N/A,,,,,,,,,Link to 16: BA-Lines - Find equation given through-point and perpendicular line,,,_pN3Ezl4sbgTRwRWtQBP11,,https://www.doenet.org/courseactivityeditor//_pN3Ezl4sbgTRwRWtQBP11
#N/A,,,,,,,,HWM 1.9: Simplify rational exponents,,,,_VlEP88DYyJobWgiV2j4DM,,https://www.doenet.org/courseactivityeditor//_VlEP88DYyJobWgiV2j4DM
#N/A,,,,,,,,,,,,_ijqI6BwAzBs2MkmSoGaOp,,https://www.doenet.org/courseactivityeditor//_ijqI6BwAzBs2MkmSoGaOp
#N/A,,,,,,,,,,,,_SgZ48jG8XbW53byYpJE8L,,https://www.doenet.org/courseactivityeditor//_SgZ48jG8XbW53byYpJE8L
#N/A,,,,,,,,,,,,_XTAOis3e6mPSXgbqKwaAl,,https://www.doenet.org/courseactivityeditor//_XTAOis3e6mPSXgbqKwaAl
#N/A,,,,,,,,,,,,_375dNJWpNQaDfY0SJL6cd,,https://www.doenet.org/courseactivityeditor//_375dNJWpNQaDfY0SJL6cd
#N/A,,,,,,,,,,,,_mRU6SHJQwEHUXhSS6AElZ,,https://www.doenet.org/courseactivityeditor//_mRU6SHJQwEHUXhSS6AElZ
#N/A,,,,,,,,,,,,_km5HZ7y6wkiXeUbEHqKk0,,https://www.doenet.org/courseactivityeditor//_km5HZ7y6wkiXeUbEHqKk0
#N/A,,,,,,,,HWM 2.4: Geometric sequences,,,,_nOq1sQ9Naq4wJfwA0UclV,,https://www.doenet.org/courseactivityeditor//_nOq1sQ9Naq4wJfwA0UclV
#N/A,,,,,,,,,,,,_dQSwW9UrxauxESo8IOu24,,https://www.doenet.org/courseactivityeditor//_dQSwW9UrxauxESo8IOu24
#N/A,,,,,,,,,"Link to 2: BA-Seq - given 2 pts of geometric sequence, find explicit formula",,,_x6iM2KvowFAnnHjOqKpNv,,https://www.doenet.org/courseactivityeditor//_x6iM2KvowFAnnHjOqKpNv
#N/A,,,,,,,,,,,,_XHrfZSigeZZnteKw8GvFP,,https://www.doenet.org/courseactivityeditor//_XHrfZSigeZZnteKw8GvFP
#N/A,,,,,,,,,"Link to 29. TR-Series: given two terms in a geometric sequence, find the common ratio",,,_y3i7vuDxC42EHS6ucelF9,,https://www.doenet.org/courseactivityeditor//_y3i7vuDxC42EHS6ucelF9
#N/A,,,,,,,,,"Link to 30. TR-Series: Given two terms in a geometric sequence, find the nth term",,,_PEVgzUHM5eYk3vg7oSiNc,,https://www.doenet.org/courseactivityeditor//_PEVgzUHM5eYk3vg7oSiNc
#N/A,,,,,,,,HWM 3.4: Find the inverse of a given function,,,,_oqSJuUraPYDLIvhmNTlLv,,https://www.doenet.org/courseactivityeditor//_oqSJuUraPYDLIvhmNTlLv
#N/A,,,,,,,,,,,,_Sh3YPz9qZzuhOmdVqsIDU,,https://www.doenet.org/courseactivityeditor//_Sh3YPz9qZzuhOmdVqsIDU
#N/A,,,,,,,,,Link to 42. BA-Functions - compute inverse of a linear function,,,_9bXOFgErZzYfVcxC8MKRz,,https://www.doenet.org/courseactivityeditor//_9bXOFgErZzYfVcxC8MKRz
#N/A,,,,,,,,,Link to 43. BA-Functions - inverse of a rational function,,,_a0EoFXJEL2vxPJcHY4iTT,,https://www.doenet.org/courseactivityeditor//_a0EoFXJEL2vxPJcHY4iTT
#N/A,,,,,,,,,Link to 46. BA-Functions - inverse of a square root function,,,_8lno4E5euALiFmIZiStjy,,https://www.doenet.org/courseactivityeditor//_8lno4E5euALiFmIZiStjy
#N/A,,,,,,,,,Link to 47. BA-Functions - inverse of a square root function,,,_usIQegjz12utWCVcBRwFp,,https://www.doenet.org/courseactivityeditor//_usIQegjz12utWCVcBRwFp
#N/A,,,,,,,,HWM 3.7: Composition of Functions,,,,_pqvrVpVqJJpmVYWhWyYPb,,https://www.doenet.org/courseactivityeditor//_pqvrVpVqJJpmVYWhWyYPb
#N/A,,,,,,,,,,,,_ynxyYuaGXbvJFIIEY256O,,https://www.doenet.org/courseactivityeditor//_ynxyYuaGXbvJFIIEY256O
#N/A,,,,,,,,,Link to 26: BA-Functions - sum of two functions evaluated at distinct inputs,,,_1o88v31d4XCSvY7ttua3R,,https://www.doenet.org/courseactivityeditor//_1o88v31d4XCSvY7ttua3R
#N/A,,,,,,,,,Link to 48. BA-Fns: function composition evaluated at given input,,,_9lnqImahkyuoHnsdN4rq0,,https://www.doenet.org/courseactivityeditor//_9lnqImahkyuoHnsdN4rq0
#N/A,,,,,,,,HWM 3.3: Domain and Range,,,,_96gJ4jJob89WqhuEM6WNJ,,https://www.doenet.org/courseactivityeditor//_96gJ4jJob89WqhuEM6WNJ
#N/A,,,,,,,,,,,,_IdMReaz5mf2B88oZ5KwzQ,,https://www.doenet.org/courseactivityeditor//_IdMReaz5mf2B88oZ5KwzQ
#N/A,,,,,,,,,Link to 35. BA-Functions - domain of a half-circle,,,_M5be9pegCHOYonAXr90IM,,https://www.doenet.org/courseactivityeditor//_M5be9pegCHOYonAXr90IM
#N/A,,,,,,,,,Link to 36. BA-Functions - range of a half-circle,,,_HuubrEZJE6oRH5Of3O9CI,,https://www.doenet.org/courseactivityeditor//_HuubrEZJE6oRH5Of3O9CI
#N/A,,,,,,,,,Link to 37. BA-Functions - domain of a parabola,,,_TrEf5BqilgD5qVFbActdP,,https://www.doenet.org/courseactivityeditor//_TrEf5BqilgD5qVFbActdP
#N/A,,,,,,,,,Link to 38. BA-Functions - range of a parabola,,,_OW2IJknIKBGbOhy8imQDj,,https://www.doenet.org/courseactivityeditor//_OW2IJknIKBGbOhy8imQDj
#N/A,,,,,,,,,,,,_lYK3f2N99Pq7TWx92Aqsi,,https://www.doenet.org/courseactivityeditor//_lYK3f2N99Pq7TWx92Aqsi
#N/A,,,,,,,,,"Link to 6. BA-Functions - domain of rational fn, sqrt in denominator",,,_rLDimHLGgAyoPWJSUlCfU,,https://www.doenet.org/courseactivityeditor//_rLDimHLGgAyoPWJSUlCfU
#N/A,,,,,,,,,"Link to 7. BA-Functions - domain of rational fn, sqrt in denominator",,,_DgUGqF7HQ1XGtuaBH59hu,,https://www.doenet.org/courseactivityeditor//_DgUGqF7HQ1XGtuaBH59hu
#N/A,,,,,,,,,"Link to 8. BA-Functions - domain of rational fn, sqrt in denominator",,,_HRAxIDX4FeSt1kQYsHclg,,https://www.doenet.org/courseactivityeditor//_HRAxIDX4FeSt1kQYsHclg
#N/A,,,,,,,,,"Link to 9. BA-Functions - domain of rational fn, sqrt in denominator",,,_wduIUCYwGWA6T8eaxmUZo,,https://www.doenet.org/courseactivityeditor//_wduIUCYwGWA6T8eaxmUZo
#N/A,,,,,,,,,"Link to 10. BA-Functions - domain of rational fn, sqrt in denominator",,,_J8sppIx4bpu84RiSNXnMq,,https://www.doenet.org/courseactivityeditor//_J8sppIx4bpu84RiSNXnMq
#N/A,,,,,,,,HWM 5.6: Optimization using Parabolas,,,,_dXf9rp8x6e7cfFWQ2yotM,,https://www.doenet.org/courseactivityeditor//_dXf9rp8x6e7cfFWQ2yotM
#N/A,,,,,,,,,,,,_34ESgJJli9tH4RpMGJyCu,,https://www.doenet.org/courseactivityeditor//_34ESgJJli9tH4RpMGJyCu
#N/A,,,,,,,,,Link to 15. BA-Quadratics: parabola optimization - ball thrown upward,,,_0CYOVanRisA3HL0Hdep2C,,https://www.doenet.org/courseactivityeditor//_0CYOVanRisA3HL0Hdep2C
#N/A,,,,,,,,,Link to 16. BA-Quadratics: parabola optimization - maximize profit,,,_pqAg0oXaUnkKr6C0CkTVq,,https://www.doenet.org/courseactivityeditor//_pqAg0oXaUnkKr6C0CkTVq
#N/A,,,,,,,,HWM 6.6: Newton's Law of Cooling,,,,_jL5dfbCMai3rP4s0vOUML,,https://www.doenet.org/courseactivityeditor//_jL5dfbCMai3rP4s0vOUML
#N/A,,,,,,,,,,,,_xnohgai28oxKJfRO1Dt4h,,https://www.doenet.org/courseactivityeditor//_xnohgai28oxKJfRO1Dt4h
#N/A,,,,,,,,,Link to 50. BA-ExpLog: Newton's Law of Cooling,,,_mZI7Ub9DGw60sUvsIiXkD,,https://www.doenet.org/courseactivityeditor//_mZI7Ub9DGw60sUvsIiXkD
#N/A,,,,,,,,HWM 5.7: Completing the square,,,,_NIq9lhWNTMWQvEJmMyIvO,,https://www.doenet.org/courseactivityeditor//_NIq9lhWNTMWQvEJmMyIvO
#N/A,,,,,,,,,,,,_v1kit2Qgta0GQ2D9b13dq,,https://www.doenet.org/courseactivityeditor//_v1kit2Qgta0GQ2D9b13dq
#N/A,,,,,,,,,Link to 19. BA-Quadratics: What is the constant k required to form a perfect square?,,,_GL7sapDSubyo0Eb4Fta2y,,https://www.doenet.org/courseactivityeditor//_GL7sapDSubyo0Eb4Fta2y
#N/A,,,,,,,,,Link to 21: BA-Quadratics - determine value of k to complete the square (vB),,,_juNYuMwTK6qxdmfJYDJqp,,https://www.doenet.org/courseactivityeditor//_juNYuMwTK6qxdmfJYDJqp
#N/A,,,,,,,,,Link to 22: BA-Quadratics - determine value of k to complete the square (vC),,,_fHokApQCIsWWxOAjLeTso,,https://www.doenet.org/courseactivityeditor//_fHokApQCIsWWxOAjLeTso
#N/A,,,,,,,,HWM 6.3: Simplify exponential and logarithmic expressions,,,,_fcI9vSitkaDordJbg5Qj7,,https://www.doenet.org/courseactivityeditor//_fcI9vSitkaDordJbg5Qj7
#N/A,,,,,,,,,,,,_fLwEvk5RA6zQbib6pnjs0,,https://www.doenet.org/courseactivityeditor//_fLwEvk5RA6zQbib6pnjs0
#N/A,,,,,,,,,Link to 3. BA-ExpLog: Evaluate base-10 log of fraction,,,_kwovarQXGDx5TkmQG3zzn,,https://www.doenet.org/courseactivityeditor//_kwovarQXGDx5TkmQG3zzn
#N/A,,,,,,,,,Link to 4. BA-ExpLog: Simplify using properties of logs to solve for x,,,_EJ3DBssuveqrksBy2ETV9,,https://www.doenet.org/courseactivityeditor//_EJ3DBssuveqrksBy2ETV9
#N/A,,,,,,,,,Link to 5. BA-ExpLog: Evaluate log of a fraction with arbitrary base,,,_Vn4oABVVsKxfHePP2j8US,,https://www.doenet.org/courseactivityeditor//_Vn4oABVVsKxfHePP2j8US
#N/A,,,,,,,,,Link to 6: BA-ExpLog - given alog(b) = log(x) find x,,,_AgxKRyuws9dAjqat99H5M,,https://www.doenet.org/courseactivityeditor//_AgxKRyuws9dAjqat99H5M
#N/A,,,,,,,,,Link to 12. BA-ExpLog: Unsightly rational expression raised to the power 0,,,_jFy9ID3D3kM2jm7rEJs7V,,https://www.doenet.org/courseactivityeditor//_jFy9ID3D3kM2jm7rEJs7V
#N/A,,,,,,,,,Link to 27. BA-ExpLog: Simplify a difference of logarithmic terms using properties,,,_TcrBucslV4PS35pmGPFn5,,https://www.doenet.org/courseactivityeditor//_TcrBucslV4PS35pmGPFn5
#N/A,,,,,,,,,Link to 28. BA-ExpLog: Simplify a fraction * logarithmic term using properties (81),,,_AlLxo8YStbwUQQfghRyDa,,https://www.doenet.org/courseactivityeditor//_AlLxo8YStbwUQQfghRyDa
#N/A,,,,,,,,,Link to 29. BA-ExpLog: Simplify a fraction * logarithmic term using properties (32),,,_I3MpfLDKrmDXp8KW2vYln,,https://www.doenet.org/courseactivityeditor//_I3MpfLDKrmDXp8KW2vYln
#N/A,,,,,,,,,Link to 30. BA-ExpLog: Simplify a fraction * logarithmic term using properties (64),,,_xxaULMd7VIBt7N4yKxsFr,,https://www.doenet.org/courseactivityeditor//_xxaULMd7VIBt7N4yKxsFr
#N/A,,,,,,,,,Link to 33. BA-ExpLog: Simplify an expression of the form log_x x^a,,,_bKBMn6GhRs4cKiqyCuxDj,,https://www.doenet.org/courseactivityeditor//_bKBMn6GhRs4cKiqyCuxDj
#N/A,,,,,,,,,"Link to 37. BA-ExpLog: Solve for x, given 10^x = a",,,_9h9DLDMCxCVgDbDdQDWZZ,,https://www.doenet.org/courseactivityeditor//_9h9DLDMCxCVgDbDdQDWZZ
#N/A,,,,,,,HWV - Advanced,,,,,_PLRt9AmFeZS4L8w1Vi8zE,,https://www.doenet.org/courseactivityeditor//_PLRt9AmFeZS4L8w1Vi8zE
#N/A,,,,,,,,HWV 3.3 - Find the domain of a function,,,,_wYErEwo8Eq7pb8Pk5X7wR,,https://www.doenet.org/courseactivityeditor//_wYErEwo8Eq7pb8Pk5X7wR
#N/A,,,,,,,,,,,,_JlPoag8fl3ExfyZDdNfgS,,https://www.doenet.org/courseactivityeditor//_JlPoag8fl3ExfyZDdNfgS
#N/A,,,,,,,,,Link to 39. BA-Fns: Mult-choice find domain,,,_YWMRA1XWTy5Dyg4n0DXxc,,https://www.doenet.org/courseactivityeditor//_YWMRA1XWTy5Dyg4n0DXxc
#N/A,,,,,,,,HWV 3.6 - Find inverse of a rational function,,,,_BlvS19HXb22lSpcWqPWLn,,https://www.doenet.org/courseactivityeditor//_BlvS19HXb22lSpcWqPWLn
