Trig,Prob,,,,Heirarchy Levels,,highlighted yellow means needs formal review,,,,,,,
#N/A,,,,,,,32. BA-Basics - subtract fractions then simplify,,,,,_LVq07kSMaKqIVn0me1NpY,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_LVq07kSMaKqIVn0me1NpY
"Symmetry: even, odd, neither",https://www.doenet.org/portfolioeditor/_CNXMQYaw6BOEfOdodm1sd,7g,_CNXMQYaw6BOEfOdodm1sd,,,,Apply the definition of even symmetry to evaluate a function,,"new conversion, just in library",,,_CNXMQYaw6BOEfOdodm1sd,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_CNXMQYaw6BOEfOdodm1sd
"Symmetry: even, odd, neither",https://www.doenet.org/portfolioeditor/_umF64YgDqdXVhoakZfm0i,7g,_umF64YgDqdXVhoakZfm0i,,,,Apply the definition of odd symmetry to evaluate a function,,"new conversion, just in library",,,_FxMH7XD58yjf0DStSiL3C,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_FxMH7XD58yjf0DStSiL3C
"Symmetry: even, odd, neither",https://www.doenet.org/portfolioeditor/_hxrOWDDoBUTPa2DwGUY35,7g,_hxrOWDDoBUTPa2DwGUY35,,,,Multiple choice; determine symmetry of sin(x) given graph,,"new conversion, just in library",,,_R9Dk4H2jzybPXv9cHNSKy,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_R9Dk4H2jzybPXv9cHNSKy
"Symmetry: even, odd, neither",https://www.doenet.org/portfolioeditor/_Iz0LCKBtK2oqmDfgFwm5K,7g,_Iz0LCKBtK2oqmDfgFwm5K,,,,Multiple choice; determine symmetry of tan(x) given graph,,"new conversion, just in library",,,_FuHeI9BdqMUKL30xphqwo,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_FuHeI9BdqMUKL30xphqwo
"Symmetry: even, odd, neither",https://www.doenet.org/portfolioeditor/_ZXIQJZDlaAnZQgL5rVkWq,7g,_ZXIQJZDlaAnZQgL5rVkWq,,,,Multiple choice; determine symmetry of cos(x) given graph,,"new conversion, just in library",,,_eCQTbzOAMB30MPUHuQJvG,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_eCQTbzOAMB30MPUHuQJvG
"Symmetry: even, odd, neither",https://www.doenet.org/portfolioeditor/_vGNYTsni0qiIwO4pyv6XO,7g,_vGNYTsni0qiIwO4pyv6XO,,,,Multiple choice; determine symmetry of (1/x) given graph,,"new conversion, just in library",,,_BcyXYqtEGKjf4FKjFWOCN,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_BcyXYqtEGKjf4FKjFWOCN
"Symmetry: even, odd, neither",https://www.doenet.org/portfolioeditor/_coTI6vSi19efD8c1skPcA,7g,_coTI6vSi19efD8c1skPcA,,,,Multiple choice; determine symmetry of x^2 plus (1/x^2) given graph,,"new conversion, just in library",,,_eRh5WVsbrh5BQAO2HMjWk,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_eRh5WVsbrh5BQAO2HMjWk
"Symmetry: even, odd, neither",https://www.doenet.org/portfolioeditor/_wtadajZj8xaxCkL8vJKxL,7g,_wtadajZj8xaxCkL8vJKxL,,,,Multiple choice; determine symmetry of e^x given graph,,"new conversion, just in library",,,_3ijcVwRAJxnfymJWEmWEN,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_3ijcVwRAJxnfymJWEmWEN
"Symmetry: even, odd, neither",https://www.doenet.org/portfolioeditor/_zWibBMb3seWOtcWxs9xhi,7g,_zWibBMb3seWOtcWxs9xhi,,,,Multiple choice; determine symmetry of x^2 given graph,,"new conversion, just in library",,,_CzcGor3QRgGOdnhC8pr7t,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_CzcGor3QRgGOdnhC8pr7t
